apr         1997   34601       1       0       0       1       0       0       0       0       0       0       0       0
may         1997   27051       2       0       0       0       1       0       0       0       0       0       0       0
jun         1997   29037       3       0       0       0       0       1       0       0       0       0       0       0
jul         1997   19416       4       0       0       0       0       0       1       0       0       0       0       0
aug         1997   34021       5       0       0       0       0       0       0       1       0       0       0       0
sep         1997   34371       6       0       0       0       0       0       0       0       1       0       0       0
oct         1997   56407       7       0       0       0       0       0       0       0       0       1       0       0
nov         1997   37657       8       0       0       0       0       0       0       0       0       0       1       0
dec         1997   42575       9       0       0       0       0       0       0       0       0       0       0       1
jan         1998   34027      10       0       0       0       0       0       0       0       0       0       0       0
feb         1998   34236      11       1       0       0       0       0       0       0       0       0       0       0
mar         1998   38336      12       0       1       0       0       0       0       0       0       0       0       0
apr         1998   42889      13       0       0       1       0       0       0       0       0       0       0       0
may         1998   47805      14       0       0       0       1       0       0       0       0       0       0       0
jun         1998   79044      15       0       0       0       0       1       0       0       0       0       0       0
jul         1998   84709      16       0       0       0       0       0       1       0       0       0       0       0
aug         1998   81170      17       0       0       0       0       0       0       1       0       0       0       0
sep         1998  113558      18       0       0       0       0       0       0       0       1       0       0       0
oct         1998  163074      19       0       0       0       0       0       0       0       0       1       0       0
nov         1998  136908      20       0       0       0       0       0       0       0       0       0       1       0
dec         1998  233505      21       0       0       0       0       0       0       0       0       0       0       1
jan         1999  125536      22       0       0       0       0       0       0       0       0       0       0       0
feb         1999  109399      23       1       0       0       0       0       0       0       0       0       0       0
mar         1999  123466      24       0       1       0       0       0       0       0       0       0       0       0
apr         1999  269107      25       0       0       1       0       0       0       0       0       0       0       0
may         1999  279756      26       0       0       0       1       0       0       0       0       0       0       0
jun         1999  326668      27       0       0       0       0       1       0       0       0       0       0       0
jul         1999  325151      28       0       0       0       0       0       1       0       0       0       0       0
aug         1999  260225      29       0       0       0       0       0       0       1       0       0       0       0
sep         1999  501501      30       0       0       0       0       0       0       0       1       0       0       0
oct         1999  603048      31       0       0       0       0       0       0       0       0       1       0       0
nov         1999  449242      32       0       0       0       0       0       0       0       0       0       1       0
dec         1999  646290      33       0       0       0       0       0       0       0       0       0       0       1
jan         2000  370031      34       0       0       0       0       0       0       0       0       0       0       0
feb         2000  401035      35       1       0       0       0       0       0       0       0       0       0       0
mar         2000  412559      36       0       1       0       0       0       0       0       0       0       0       0
apr         2000  409192      37       0       0       1       0       0       0       0       0       0       0       0
may         2000  453435      38       0       0       0       1       0       0       0       0       0       0       0
jun         2000  654687      39       0       0       0       0       1       0       0       0       0       0       0
jul         2000  537453      40       0       0       0       0       0       1       0       0       0       0       0
aug         2000  557617      41       0       0       0       0       0       0       1       0       0       0       0
sep         2000 1296280      42       0       0       0       0       0       0       0       1       0       0       0
oct         2000 1236658      43       0       0       0       0       0       0       0       0       1       0       0
nov         2000  866507      44       0       0       0       0       0       0       0       0       0       1       0
dec         2000 1303091      45       0       0       0       0       0       0       0       0       0       0       1
jan         2001  572031      46       0       0       0       0       0       0       0       0       0       0       0
feb         2001  555856      47       1       0       0       0       0       0       0       0       0       0       0
mar         2001 1207489      48       0       1       0       0       0       0       0       0       0       0       0
apr         2001  631353      49       0       0       1       0       0       0       0       0       0       0       0
may         2001  523225      50       0       0       0       1       0       0       0       0       0       0       0
jun         2001  920839      51       0       0       0       0       1       0       0       0       0       0       0
jul         2001  693013      52       0       0       0       0       0       1       0       0       0       0       0
aug         2001  673926      53       0       0       0       0       0       0       1       0       0       0       0
sep         2001 1768821      54       0       0       0       0       0       0       0       1       0       0       0
oct         2001 1516211      55       0       0       0       0       0       0       0       0       1       0       0
nov         2001 1781048      56       0       0       0       0       0       0       0       0       0       1       0
dec         2001 1862772      57       0       0       0       0       0       0       0       0       0       0       1
jan         2002  542698      58       0       0       0       0       0       0       0       0       0       0       0
feb         2002  736118      59       1       0       0       0       0       0       0       0       0       0       0
mar         2002 1404026      60       0       1       0       0       0       0       0       0       0       0       0
apr         2002 1095530      61       0       0       1       0       0       0       0       0       0       0       0
may         2002  950412      62       0       0       0       1       0       0       0       0       0       0       0
jun         2002 1632032      63       0       0       0       0       1       0       0       0       0       0       0
jul         2002  966129      64       0       0       0       0       0       1       0       0       0       0       0
aug         2002  884288      65       0       0       0       0       0       0       1       0       0       0       0
sep         2002 2299864      66       0       0       0       0       0       0       0       1       0       0       0
oct         2002 1704148      67       0       0       0       0       0       0       0       0       1       0       0
nov         2002 2544130      68       0       0       0       0       0       0       0       0       0       1       0
dec         2002 2330048      69       0       0       0       0       0       0       0       0       0       0       1
jan         2003  797058      70       0       0       0       0       0       0       0       0       0       0       0
feb         2003  743488      71       1       0       0       0       0       0       0       0       0       0       0
mar         2003 1613649      72       0       1       0       0       0       0       0       0       0       0       0
apr         2003 1272337      73       0       0       1       0       0       0       0       0       0       0       0
may         2003 1332897      74       0       0       0       1       0       0       0       0       0       0       0
jun         2003 2100432      75       0       0       0       0       1       0       0       0       0       0       0
jul         2003  999508      76       0       0       0       0       0       1       0       0       0       0       0
aug         2003 1436878      77       0       0       0       0       0       0       1       0       0       0       0
sep         2003 2496497      78       0       0       0       0       0       0       0       1       0       0       0
oct         2003 2491871      79       0       0       0       0       0       0       0       0       1       0       0
nov         2003 3682691      80       0       0       0       0       0       0       0       0       0       1       0
dec         2003 3027083      81       0       0       0       0       0       0       0       0       0       0       1
jan         2004 1111285      82       0       0       0       0       0       0       0       0       0       0       0
feb         2004  919295      83       1       0       0       0       0       0       0       0       0       0       0
mar         2004 1545112      84       0       1       0       0       0       0       0       0       0       0       0
apr         2004 1161857      85       0       0       1       0       0       0       0       0       0       0       0
may         2004 1219838      86       0       0       0       1       0       0       0       0       0       0       0
jun         2004 1071137      87       0       0       0       0       1       0       0       0       0       0       0
